County,Avg_Temp,Max_Temp,Min_Temp,Percipitation,
"Taylor County, GA",64.2°F,75.9°F,52.5°F,"51.03""",
"Telfair County, GA",66.1°F,77.4°F,54.9°F,"58.18""",
"Terrell County, GA",65.9°F,76.4°F,55.4°F,"55.91""",
"Thomas County, GA",66.8°F,77.6°F,56.1°F,"64.84""",
"Tift County, GA",65.7°F,77.1°F,54.3°F,"62.00""",
"Toombs County, GA",66.2°F,77.8°F,54.6°F,"63.70""",
"Towns County, GA",56.5°F,67.8°F,45.2°F,"69.70""",
"Treutlen County, GA",65.6°F,77.3°F,53.8°F,"63.07""",
"Troup County, GA",62.8°F,74.3°F,51.2°F,"55.30""",
"Turner County, GA",65.7°F,77.1°F,54.4°F,"53.46""",
"Twiggs County, GA",65.2°F,77.2°F,53.1°F,"52.52""",
"Union County, GA",56.5°F,68.0°F,45.0°F,"71.99""",
"Upson County, GA",63.8°F,75.6°F,51.9°F,"50.09""",
"Walker County, GA",60.3°F,70.8°F,49.8°F,"66.04""",
"Walton County, GA",62.8°F,74.2°F,51.4°F,"51.79""",
"Ware County, GA",67.0°F,78.3°F,55.6°F,"55.20""",
"Warren County, GA",63.5°F,75.0°F,51.9°F,"49.79""",
"Washington County, GA",64.4°F,76.2°F,52.5°F,"49.95""",
"Wayne County, GA",67.0°F,78.6°F,55.3°F,"60.38""",
"Webster County, GA",65.0°F,76.1°F,53.9°F,"56.80""",
"Wheeler County, GA",66.0°F,77.5°F,54.5°F,"62.63""",
"White County, GA",58.7°F,69.6°F,47.7°F,"70.56""",
"Whitfield County, GA",60.7°F,71.6°F,49.9°F,"66.39""",
"Wilcox County, GA",66.0°F,77.5°F,54.5°F,"53.29""",
"Wilkes County, GA",62.9°F,73.9°F,52.0°F,"47.33""",
"Wilkinson County, GA",65.0°F,77.0°F,52.9°F,"51.19""",
"Worth County, GA",65.9°F,76.8°F,55.0°F,"54.34""",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
